"B25010_001E","B25010_001M","B25010_002E","B25010_002M","B25010_003E","B25010_003M","GEO_ID","NAME"
"Estimate!!Average household size --!!Total:","Margin of Error!!Average household size --!!Total:","Estimate!!Average household size --!!Total:!!Owner occupied","Margin of Error!!Average household size --!!Total:!!Owner occupied","Estimate!!Average household size --!!Total:!!Renter occupied","Margin of Error!!Average household size --!!Total:!!Renter occupied","id","Geographic Area Name"
"3.15","0.34","3.68","0.37","2.18","0.62","1400000US06037113424","Census Tract 1134.24, Los Angeles County, California"
"3.23","0.29","2.23","0.71","3.28","0.31","1400000US06037113425","Census Tract 1134.25, Los Angeles County, California"
"3.20","0.26","3.51","0.50","2.95","0.59","1400000US06037113426","Census Tract 1134.26, Los Angeles County, California"
"1.99","0.30","2.19","0.57","1.91","0.37","1400000US06037113427","Census Tract 1134.27, Los Angeles County, California"
"3.79","0.77","3.92","0.89","3.19","0.98","1400000US06037113428","Census Tract 1134.28, Los Angeles County, California"
"2.58","0.24","2.70","0.27","1.53","0.52","1400000US06037115101","Census Tract 1151.01, Los Angeles County, California"
"4.09","1.48","-","**","4.09","1.48","1400000US06037115103","Census Tract 1151.03, Los Angeles County, California"
"2.09","0.19","2.61","0.61","1.89","0.22","1400000US06037115104","Census Tract 1151.04, Los Angeles County, California"
"3.04","0.24","3.17","0.37","2.92","0.39","1400000US06037115202","Census Tract 1152.02, Los Angeles County, California"
"2.51","0.41","2.11","0.66","2.63","0.47","1400000US06037115203","Census Tract 1152.03, Los Angeles County, California"
"2.51","0.33","2.98","0.48","2.33","0.41","1400000US06037115204","Census Tract 1152.04, Los Angeles County, California"
"2.76","0.24","2.99","0.32","2.54","0.44","1400000US06037115301","Census Tract 1153.01, Los Angeles County, California"
"3.48","0.31","3.20","0.57","3.62","0.42","1400000US06037115302","Census Tract 1153.02, Los Angeles County, California"
"3.24","0.26","3.47","0.59","3.13","0.32","1400000US06037115401","Census Tract 1154.01, Los Angeles County, California"
"3.43","0.44","3.71","0.49","3.32","0.60","1400000US06037115403","Census Tract 1154.03, Los Angeles County, California"
"3.27","0.35","3.51","0.46","3.09","0.50","1400000US06037115404","Census Tract 1154.04, Los Angeles County, California"
"3.52","0.32","3.37","0.37","3.85","0.69","1400000US06037117101","Census Tract 1171.01, Los Angeles County, California"
"3.36","0.43","3.38","0.57","3.29","0.68","1400000US06037117102","Census Tract 1171.02, Los Angeles County, California"
