"B25064_001E","B25064_001M","GEO_ID","NAME"
"Estimate!!Median gross rent","Margin of Error!!Median gross rent","id","Geographic Area Name"
"1906","175","1400000US06037124600","Census Tract 1246, Los Angeles County, California"
"1776","120","1400000US06037124700","Census Tract 1247, Los Angeles County, California"
"1468","117","1400000US06037124902","Census Tract 1249.02, Los Angeles County, California"
"1746","104","1400000US06037124903","Census Tract 1249.03, Los Angeles County, California"
"1700","84","1400000US06037125101","Census Tract 1251.01, Los Angeles County, California"
"1705","207","1400000US06037125102","Census Tract 1251.02, Los Angeles County, California"
"1715","146","1400000US06037125200","Census Tract 1252, Los Angeles County, California"
"1799","210","1400000US06037125310","Census Tract 1253.10, Los Angeles County, California"
"1594","173","1400000US06037125321","Census Tract 1253.21, Los Angeles County, California"
"1860","392","1400000US06037125322","Census Tract 1253.22, Los Angeles County, California"
"1885","108","1400000US06037125402","Census Tract 1254.02, Los Angeles County, California"
"1823","150","1400000US06037125403","Census Tract 1254.03, Los Angeles County, California"
"1994","267","1400000US06037125404","Census Tract 1254.04, Los Angeles County, California"
"1458","152","1400000US06037125501","Census Tract 1255.01, Los Angeles County, California"
"1736","108","1400000US06037125502","Census Tract 1255.02, Los Angeles County, California"
"1651","192","1400000US06037125600","Census Tract 1256, Los Angeles County, California"
"1389","141","1400000US06037127102","Census Tract 1271.02, Los Angeles County, California"
"1268","86","1400000US06037127103","Census Tract 1271.03, Los Angeles County, California"
"1480","181","1400000US06037127104","Census Tract 1271.04, Los Angeles County, California"
"1300","127","1400000US06037127210","Census Tract 1272.10, Los Angeles County, California"
"1371","83","1400000US06037127220","Census Tract 1272.20, Los Angeles County, California"
"1484","141","1400000US06037127300","Census Tract 1273, Los Angeles County, California"
"1455","161","1400000US06037127400","Census Tract 1274, Los Angeles County, California"
"1226","58","1400000US06037127520","Census Tract 1275.20, Los Angeles County, California"
"1537","165","1400000US06037127603","Census Tract 1276.03, Los Angeles County, California"
"1403","101","1400000US06037127604","Census Tract 1276.04, Los Angeles County, California"
"1654","143","1400000US06037127605","Census Tract 1276.05, Los Angeles County, California"
"1483","150","1400000US06037127606","Census Tract 1276.06, Los Angeles County, California"
"1454","131","1400000US06037127711","Census Tract 1277.11, Los Angeles County, California"
"1524","143","1400000US06037127712","Census Tract 1277.12, Los Angeles County, California"
"1448","141","1400000US06037127803","Census Tract 1278.03, Los Angeles County, California"
"1492","103","1400000US06037127804","Census Tract 1278.04, Los Angeles County, California"
"1255","115","1400000US06037127805","Census Tract 1278.05, Los Angeles County, California"
"1412","162","1400000US06037127806","Census Tract 1278.06, Los Angeles County, California"
"1228","78","1400000US06037127910","Census Tract 1279.10, Los Angeles County, California"
"1483","500","1400000US06037127920","Census Tract 1279.20, Los Angeles County, California"
"1684","115","1400000US06037128101","Census Tract 1281.01, Los Angeles County, California"
"1373","98","1400000US06037128102","Census Tract 1281.02, Los Angeles County, California"
"1531","126","1400000US06037128210","Census Tract 1282.10, Los Angeles County, California"
"1327","150","1400000US06037128220","Census Tract 1282.20, Los Angeles County, California"
"1292","102","1400000US06037128302","Census Tract 1283.02, Los Angeles County, California"
"1304","117","1400000US06037128303","Census Tract 1283.03, Los Angeles County, California"
"1857","137","1400000US06037128400","Census Tract 1284, Los Angeles County, California"
"1710","71","1400000US06037128500","Census Tract 1285, Los Angeles County, California"
"1369","105","1400000US06037128601","Census Tract 1286.01, Los Angeles County, California"
"1555","132","1400000US06037128602","Census Tract 1286.02, Los Angeles County, California"
"1944","115","1400000US06037128703","Census Tract 1287.03, Los Angeles County, California"
"1941","414","1400000US06037128704","Census Tract 1287.04, Los Angeles County, California"
"1710","81","1400000US06037128801","Census Tract 1288.01, Los Angeles County, California"
"1800","83","1400000US06037128802","Census Tract 1288.02, Los Angeles County, California"
"1724","170","1400000US06037128910","Census Tract 1289.10, Los Angeles County, California"
"1397","193","1400000US06037131021","Census Tract 1310.21, Los Angeles County, California"
"1684","95","1400000US06037131022","Census Tract 1310.22, Los Angeles County, California"
"1728","154","1400000US06037131023","Census Tract 1310.23, Los Angeles County, California"
"1834","317","1400000US06037131024","Census Tract 1310.24, Los Angeles County, California"
"2697","180","1400000US06037131100","Census Tract 1311, Los Angeles County, California"
"1942","597","1400000US06037131200","Census Tract 1312, Los Angeles County, California"
"2431","303","1400000US06037131300","Census Tract 1313, Los Angeles County, California"
"1726","195","1400000US06037131400","Census Tract 1314, Los Angeles County, California"
"1357","398","1400000US06037131600","Census Tract 1316, Los Angeles County, California"
"1484","143","1400000US06037131701","Census Tract 1317.01, Los Angeles County, California"
"1601","360","1400000US06037131702","Census Tract 1317.02, Los Angeles County, California"
"1230","86","1400000US06037131801","Census Tract 1318.01, Los Angeles County, California"
"1955","890","1400000US06037131802","Census Tract 1318.02, Los Angeles County, California"
"2442","236","1400000US06037131900","Census Tract 1319, Los Angeles County, California"
"1439","159","1400000US06037132001","Census Tract 1320.01, Los Angeles County, California"
"2061","349","1400000US06037132002","Census Tract 1320.02, Los Angeles County, California"
"1617","203","1400000US06037132101","Census Tract 1321.01, Los Angeles County, California"
"1845","302","1400000US06037132102","Census Tract 1321.02, Los Angeles County, California"
"1145","69","1400000US06037132301","Census Tract 1323.01, Los Angeles County, California"
"1623","501","1400000US06037132302","Census Tract 1323.02, Los Angeles County, California"
"1466","168","1400000US06037132501","Census Tract 1325.01, Los Angeles County, California"
"1670","226","1400000US06037132502","Census Tract 1325.02, Los Angeles County, California"
"1242","146","1400000US06037132700","Census Tract 1327, Los Angeles County, California"
"2083","235","1400000US06037132900","Census Tract 1329, Los Angeles County, California"
"2106","376","1400000US06037133000","Census Tract 1330, Los Angeles County, California"
"1814","163","1400000US06037133101","Census Tract 1331.01, Los Angeles County, California"
"1553","119","1400000US06037133102","Census Tract 1331.02, Los Angeles County, California"
"1505","118","1400000US06037134001","Census Tract 1340.01, Los Angeles County, California"
"1244","180","1400000US06037134002","Census Tract 1340.02, Los Angeles County, California"
"1558","296","1400000US06037134101","Census Tract 1341.01, Los Angeles County, California"
"1283","266","1400000US06037134103","Census Tract 1341.03, Los Angeles County, California"
"1411","138","1400000US06037134104","Census Tract 1341.04, Los Angeles County, California"
"1423","997","1400000US06037134201","Census Tract 1342.01, Los Angeles County, California"
"2770","349","1400000US06037134302","Census Tract 1343.02, Los Angeles County, California"
"2208","372","1400000US06037134303","Census Tract 1343.03, Los Angeles County, California"
"1794","1237","1400000US06037134304","Census Tract 1343.04, Los Angeles County, California"
"1415","51","1400000US06037134305","Census Tract 1343.05, Los Angeles County, California"
"1519","201","1400000US06037134306","Census Tract 1343.06, Los Angeles County, California"
"3,500+","***","1400000US06037134421","Census Tract 1344.21, Los Angeles County, California"
"2917","1221","1400000US06037134422","Census Tract 1344.22, Los Angeles County, California"
"3,500+","***","1400000US06037134423","Census Tract 1344.23, Los Angeles County, California"
"3,500+","***","1400000US06037134424","Census Tract 1344.24, Los Angeles County, California"
"1340","118","1400000US06037134520","Census Tract 1345.20, Los Angeles County, California"
"1610","100","1400000US06037134521","Census Tract 1345.21, Los Angeles County, California"
"1302","118","1400000US06037134522","Census Tract 1345.22, Los Angeles County, California"
"1440","154","1400000US06037134710","Census Tract 1347.10, Los Angeles County, California"
"1678","150","1400000US06037134720","Census Tract 1347.20, Los Angeles County, California"
"2142","287","1400000US06037134801","Census Tract 1348.01, Los Angeles County, California"
"2463","1093","1400000US06037134802","Census Tract 1348.02, Los Angeles County, California"
"1246","142","1400000US06037134901","Census Tract 1349.01, Los Angeles County, California"
"1223","107","1400000US06037134904","Census Tract 1349.04, Los Angeles County, California"
"2549","142","1400000US06037134905","Census Tract 1349.05, Los Angeles County, California"
"1599","78","1400000US06037134906","Census Tract 1349.06, Los Angeles County, California"
"2276","138","1400000US06037134907","Census Tract 1349.07, Los Angeles County, California"
"3097","505","1400000US06037135102","Census Tract 1351.02, Los Angeles County, California"
"1905","420","1400000US06037135111","Census Tract 1351.11, Los Angeles County, California"
"2560","139","1400000US06037135113","Census Tract 1351.13, Los Angeles County, California"
"1904","103","1400000US06037135115","Census Tract 1351.15, Los Angeles County, California"
"1749","421","1400000US06037135116","Census Tract 1351.16, Los Angeles County, California"
"3147","390","1400000US06037135201","Census Tract 1352.01, Los Angeles County, California"
"3283","121","1400000US06037135202","Census Tract 1352.02, Los Angeles County, California"
"2414","904","1400000US06037135204","Census Tract 1352.04, Los Angeles County, California"
"3096","1273","1400000US06037135205","Census Tract 1352.05, Los Angeles County, California"
"3373","410","1400000US06037137000","Census Tract 1370, Los Angeles County, California"
"2281","99","1400000US06037137103","Census Tract 1371.03, Los Angeles County, California"
"2223","226","1400000US06037137104","Census Tract 1371.04, Los Angeles County, California"
"1847","128","1400000US06037137202","Census Tract 1372.02, Los Angeles County, California"
"1743","280","1400000US06037137203","Census Tract 1372.03, Los Angeles County, California"
"3,500+","***","1400000US06037137301","Census Tract 1373.01, Los Angeles County, California"
"3354","438","1400000US06037137302","Census Tract 1373.02, Los Angeles County, California"
"2413","601","1400000US06037137401","Census Tract 1374.01, Los Angeles County, California"
"2491","768","1400000US06037137402","Census Tract 1374.02, Los Angeles County, California"
"2431","250","1400000US06037137501","Census Tract 1375.01, Los Angeles County, California"
"2532","460","1400000US06037137502","Census Tract 1375.02, Los Angeles County, California"
"3,500+","***","1400000US06037137504","Census Tract 1375.04, Los Angeles County, California"
"3,500+","***","1400000US06037138000","Census Tract 1380, Los Angeles County, California"
"1874","119","1400000US06037139001","Census Tract 1390.01, Los Angeles County, California"
"1955","407","1400000US06037139200","Census Tract 1392, Los Angeles County, California"
"2844","1772","1400000US06037139301","Census Tract 1393.01, Los Angeles County, California"
"1747","82","1400000US06037139302","Census Tract 1393.02, Los Angeles County, California"
"1368","103","1400000US06037139303","Census Tract 1393.03, Los Angeles County, California"
"1406","127","1400000US06037139401","Census Tract 1394.01, Los Angeles County, California"
"3011","414","1400000US06037139402","Census Tract 1394.02, Los Angeles County, California"
"1659","599","1400000US06037139502","Census Tract 1395.02, Los Angeles County, California"
"1752","124","1400000US06037139504","Census Tract 1395.04, Los Angeles County, California"
"1727","55","1400000US06037139505","Census Tract 1395.05, Los Angeles County, California"
"1729","76","1400000US06037139506","Census Tract 1395.06, Los Angeles County, California"
"2526","1047","1400000US06037139600","Census Tract 1396, Los Angeles County, California"
"2777","564","1400000US06037139701","Census Tract 1397.01, Los Angeles County, California"
"3240","565","1400000US06037139703","Census Tract 1397.03, Los Angeles County, California"
"3239","279","1400000US06037139704","Census Tract 1397.04, Los Angeles County, California"
"-","**","1400000US06037139705","Census Tract 1397.05, Los Angeles County, California"
"3,500+","***","1400000US06037139801","Census Tract 1398.01, Los Angeles County, California"
"3236","440","1400000US06037139802","Census Tract 1398.02, Los Angeles County, California"
"1915","153","1400000US06037141101","Census Tract 1411.01, Los Angeles County, California"
"1876","145","1400000US06037141102","Census Tract 1411.02, Los Angeles County, California"
"1820","68","1400000US06037141201","Census Tract 1412.01, Los Angeles County, California"
"2064","155","1400000US06037141202","Census Tract 1412.02, Los Angeles County, California"
