"GEO_ID","B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Geographic Area Name"
"1400000US06037602404","1709","139","1709","139","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","23","25","10","17","0","132","37","46","28","35","51","50","134","70","220","99","277","110","524","152","281","109","101","95","23","37","0","132","Census Tract 6024.04, Los Angeles County, California"
"1400000US06037602504","1620","106","1620","106","0","132","0","132","0","132","0","132","10","17","6","14","0","132","0","132","0","132","0","132","0","132","25","34","0","132","9","19","0","132","418","129","534","143","352","133","195","102","71","57","0","132","0","132","Census Tract 6025.04, Los Angeles County, California"
"1400000US06037602505","1569","110","1542","119","0","132","0","132","0","132","0","132","12","21","0","132","0","132","0","132","0","132","0","132","0","132","0","132","56","64","126","85","86","53","325","137","443","150","432","146","28","34","0","132","34","51","27","41","Census Tract 6025.05, Los Angeles County, California"
"1400000US06037602506","1499","124","1487","128","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","19","29","0","132","53","56","38","44","311","102","401","134","540","168","125","74","0","132","0","132","12","20","Census Tract 6025.06, Los Angeles County, California"
"1400000US06037602507","1376","133","1376","133","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","11","20","13","20","50","46","101","86","545","128","342","147","263","115","27","44","24","38","0","132","0","132","Census Tract 6025.07, Los Angeles County, California"
"1400000US06037602508","2016","159","1994","158","0","132","0","132","0","132","0","132","34","40","0","132","55","48","12","19","0","132","0","132","21","33","47","53","77","91","92","73","50","48","615","182","330","161","397","146","134","102","130","90","0","132","22","34","Census Tract 6025.08, Los Angeles County, California"
"1400000US06037602509","832","107","832","107","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","11","16","11","18","22","33","25","41","0","132","33","46","110","81","108","74","154","86","238","93","108","77","12","20","0","132","Census Tract 6025.09, Los Angeles County, California"
"1400000US06037602600","956","173","956","173","0","132","0","132","0","132","0","132","0","132","13","23","0","132","0","132","0","132","0","132","0","132","15","25","0","132","0","132","12","19","160","108","236","141","328","127","58","59","121","76","13","21","0","132","Census Tract 6026, Los Angeles County, California"
"1400000US06037602700","115","61","106","58","0","132","0","132","0","132","0","132","0","132","0","132","3","11","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","27","31","0","132","23","38","18","27","18","26","17","18","9","14","Census Tract 6027, Los Angeles County, California"
"1400000US06037602801","872","113","872","113","31","50","0","132","0","132","0","132","0","132","52","61","0","132","32","46","27","43","0","132","6","11","37","50","0","132","58","78","93","70","153","87","148","80","122","85","5","13","81","43","27","42","0","132","Census Tract 6028.01, Los Angeles County, California"
"1400000US06037602802","450","127","450","127","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","32","52","0","132","0","132","0","132","16","25","41","35","38","46","55","64","36","43","106","89","55","62","57","54","14","24","0","132","Census Tract 6028.02, Los Angeles County, California"
"1400000US06037602900","554","126","554","126","0","132","0","132","0","132","0","132","0","132","0","132","25","40","11","17","26","40","21","33","36","61","8","13","35","49","44","43","100","76","27","38","37","46","118","70","0","132","66","58","0","132","0","132","Census Tract 6029, Los Angeles County, California"
"1400000US06037603001","1561","174","1549","173","0","132","0","132","0","132","0","132","13","23","13","20","37","54","23","41","76","72","40","48","0","132","115","90","25","38","107","74","40","51","367","141","180","111","283","121","178","110","12","21","40","50","12","19","Census Tract 6030.01, Los Angeles County, California"
"1400000US06037603004","503","91","487","96","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","29","42","0","132","0","132","21","33","0","132","10","16","99","56","85","55","190","76","40","34","13","19","0","132","16","27","Census Tract 6030.04, Los Angeles County, California"
"1400000US06037603005","1356","180","1356","180","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","64","62","40","64","0","132","45","42","152","107","326","175","441","186","145","81","143","103","0","132","0","132","Census Tract 6030.05, Los Angeles County, California"
"1400000US06037603006","639","113","591","109","0","132","0","132","0","132","35","41","41","47","0","132","0","132","13","20","0","132","19","30","0","132","33","26","0","132","41","45","74","86","67","57","54","48","170","91","29","38","15","19","0","132","48","58","Census Tract 6030.06, Los Angeles County, California"
"1400000US06037603101","1068","116","1057","113","0","132","0","132","0","132","23","37","0","132","0","132","10","16","0","132","10","15","0","132","0","132","20","24","73","61","0","132","28","29","51","45","114","63","444","126","85","46","192","98","7","12","11","17","Census Tract 6031.01, Los Angeles County, California"
"1400000US06037603102","1105","112","1033","113","7","11","41","44","8","12","40","29","9","13","0","132","8","13","45","45","8","12","0","132","11","17","7","12","23","27","55","56","90","57","110","72","43","47","339","120","60","46","117","75","12","19","72","56","Census Tract 6031.02, Los Angeles County, California"
"1400000US06037603200","327","89","295","95","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","13","19","0","132","12","19","23","26","6","12","10","15","45","47","100","56","67","53","0","132","19","25","32","37","Census Tract 6032, Los Angeles County, California"
"1400000US06037603301","1216","124","1190","121","0","132","0","132","10","15","41","50","0","132","0","132","0","132","0","132","0","132","0","132","10","16","10","15","93","62","42","53","99","59","143","74","172","84","326","116","116","88","50","51","78","69","26","31","Census Tract 6033.01, Los Angeles County, California"
"1400000US06037603302","865","123","856","125","0","132","0","132","0","132","0","132","9","13","0","132","0","132","0","132","0","132","0","132","23","38","18","21","33","53","12","19","10","15","176","89","64","48","292","70","126","66","93","81","0","132","9","15","Census Tract 6033.02, Los Angeles County, California"
"1400000US06037603400","542","131","516","125","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","6","11","12","19","10","17","58","62","79","56","13","21","72","60","200","103","30","31","36","30","0","132","26","26","Census Tract 6034, Los Angeles County, California"
"1400000US06037603500","190","92","147","81","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","29","42","0","132","9","16","36","36","34","52","0","132","27","29","12","19","0","132","43","52","Census Tract 6035, Los Angeles County, California"
"1400000US06037603600","282","104","248","102","0","132","0","132","0","132","0","132","0","132","14","21","0","132","0","132","0","132","0","132","0","132","0","132","0","132","16","27","30","50","9","15","19","21","0","132","34","36","100","84","26","35","34","54","Census Tract 6036, Los Angeles County, California"
"1400000US06037603702","285","100","276","101","0","132","0","132","0","132","0","132","0","132","0","132","0","132","23","38","0","132","0","132","0","132","0","132","0","132","14","21","0","132","50","41","10","16","19","23","16","25","48","64","96","60","9","15","Census Tract 6037.02, Los Angeles County, California"
"1400000US06037603703","83","46","83","46","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","5","9","0","132","0","132","4","9","0","132","19","25","12","17","43","42","0","132","0","132","Census Tract 6037.03, Los Angeles County, California"
"1400000US06037603704","1701","165","1701","165","59","86","0","132","0","132","0","132","0","132","0","132","0","132","0","132","13","21","13","21","0","132","33","52","56","57","30","48","84","66","397","131","162","110","583","181","183","95","5","13","83","105","0","132","Census Tract 6037.04, Los Angeles County, California"
"1400000US06037603801","1070","128","1038","136","0","132","0","132","14","23","0","132","13","21","0","132","0","132","0","132","0","132","0","132","12","21","0","132","0","132","0","132","24","27","125","78","83","63","375","143","245","96","73","51","74","75","32","51","Census Tract 6038.01, Los Angeles County, California"
"1400000US06037603802","835","106","809","114","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","8","14","14","25","59","71","0","132","39","46","9","14","57","60","187","87","116","92","246","129","74","66","26","32","Census Tract 6038.02, Los Angeles County, California"
"1400000US06037603900","1455","167","1386","176","0","132","0","132","0","132","40","62","29","25","40","65","0","132","42","50","0","132","35","56","15","24","27","44","12","20","21","28","102","85","65","56","143","89","211","106","259","130","268","133","77","58","69","61","Census Tract 6039, Los Angeles County, California"
"1400000US06037604001","918","118","897","126","0","132","0","132","0","132","32","52","0","132","5","13","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","78","60","60","76","149","97","274","111","249","115","50","79","21","28","Census Tract 6040.01, Los Angeles County, California"
"1400000US06037604002","1115","142","1115","142","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","17","27","28","24","57","55","100","79","225","106","195","103","286","116","207","114","0","132","Census Tract 6040.02, Los Angeles County, California"
"1400000US06037604100","1187","136","1177","136","10","16","0","132","0","132","0","132","0","132","0","132","0","132","8","13","0","132","0","132","0","132","23","37","14","21","8","11","17","19","71","49","110","55","316","110","373","111","191","82","36","40","10","17","Census Tract 6041, Los Angeles County, California"
"1400000US06037609900","263","91","263","91","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","6","11","19","29","18","20","0","132","38","53","42","55","24","24","51","39","27","32","8","17","30","34","0","132","Census Tract 6099, Los Angeles County, California"
"1400000US06037620001","763","107","763","107","0","132","0","132","0","132","0","132","0","132","11","17","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","0","132","54","47","52","38","230","79","128","66","64","41","224","92","0","132","Census Tract 6200.01, Los Angeles County, California"
"1400000US06037620002","1034","108","1004","120","0","132","0","132","0","132","0","132","0","132","0","132","10","15","9","14","23","40","19","22","56","42","10","16","27","40","15","18","0","132","19","23","48","33","118","58","134","68","451","116","65","54","30","46","Census Tract 6200.02, Los Angeles County, California"
